Date,Open,High,Low,Close,Adj Close,Volume
2017-10-11,155.970001,156.979996,155.750000,156.550003,155.989243,16905600
2017-10-12,156.350006,157.369995,155.729996,156.000000,155.441208,16125100
2017-10-13,156.729996,157.279999,156.410004,156.990005,156.427673,16394200
2017-10-16,157.899994,160.000000,157.649994,159.880005,159.307312,24121500
2017-10-17,159.779999,160.869995,159.229996,160.470001,159.895203,18997300
2017-10-18,160.419998,160.710007,159.600006,159.759995,159.187729,16374200
2017-10-19,156.750000,157.080002,155.020004,155.979996,155.421280,42584200
2017-10-20,156.610001,157.750000,155.960007,156.250000,155.690308,23974100
2017-10-23,156.889999,157.690002,155.500000,156.169998,155.610596,21984300
2017-10-24,156.289993,157.419998,156.199997,157.100006,156.537277,17757200
2017-10-25,156.910004,157.550003,155.270004,156.410004,155.849747,21207100
2017-10-26,157.229996,157.830002,156.779999,157.410004,156.846161,17000500
2017-10-27,159.289993,163.600006,158.699997,163.050003,162.465958,44454200
2017-10-30,163.889999,168.070007,163.720001,166.720001,166.122803,44700800
2017-10-31,167.899994,169.649994,166.940002,169.039993,168.434494,36046800
2017-11-01,169.869995,169.940002,165.610001,166.889999,166.292206,33637800
2017-11-02,166.600006,168.500000,165.279999,168.110001,167.507828,41393400
2017-11-03,174.000000,174.259995,171.119995,172.500000,171.882111,59398600
2017-11-06,172.369995,174.990005,171.720001,174.250000,173.625839,35026300
2017-11-07,173.910004,175.250000,173.600006,174.809998,174.183823,24361500
2017-11-08,174.660004,176.240005,174.330002,176.240005,175.608719,24409500
2017-11-09,175.110001,176.100006,173.139999,175.880005,175.250000,29482600
2017-11-10,175.110001,175.380005,174.270004,174.669998,174.669998,25104900
