Symbol,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,2017-10-05,2540.860107,2552.510010,2540.020020,2552.070068,2552.070068,3045120000
AAPL,2017-10-06,2547.439941,2549.409912,2543.790039,2549.330078,2549.330078,2884570000
AAPL,2017-10-09,2551.389893,2551.820068,2541.600098,2544.729980,2544.729980,2483970000
AAPL,2017-10-10,2549.989990,2555.229980,2544.860107,2550.639893,2550.639893,2960500000
AAPL,2017-10-11,2550.620117,2555.239990,2547.949951,2555.239990,2555.239990,2976090000
AAPL,2017-10-12,2552.879883,2555.330078,2548.310059,2550.929932,2550.929932,3151510000
AAPL,2017-10-13,2555.659912,2557.649902,2552.090088,2553.169922,2553.169922,3149440000
AAPL,2017-10-16,2555.570068,2559.469971,2552.639893,2557.639893,2557.639893,2916020000
AAPL,2017-10-17,2557.169922,2559.709961,2554.689941,2559.360107,2559.360107,2889390000
AAPL,2017-10-18,2562.870117,2564.110107,2559.669922,2561.260010,2561.260010,2998090000
AAPL,2017-10-19,2553.389893,2562.360107,2547.919922,2562.100098,2562.100098,2990710000
AAPL,2017-10-20,2567.560059,2575.439941,2567.560059,2575.209961,2575.209961,3384650000
AAPL,2017-10-23,2578.080078,2578.290039,2564.330078,2564.979980,2564.979980,3211710000
AAPL,2017-10-24,2568.659912,2572.179932,2565.580078,2569.129883,2569.129883,3427330000
AAPL,2017-10-25,2566.520020,2567.399902,2544.000000,2557.149902,2557.149902,3874510000
AAPL,2017-10-26,2560.080078,2567.070068,2559.800049,2560.399902,2560.399902,3869050000
AAPL,2017-10-27,2570.260010,2582.979980,2565.939941,2581.070068,2581.070068,3887110000
AAPL,2017-10-30,2577.750000,2580.030029,2568.250000,2572.830078,2572.830078,3658870000
AAPL,2017-10-31,2575.989990,2578.290039,2572.149902,2575.260010,2575.260010,3827230000
AAPL,2017-11-01,2583.209961,2588.399902,2574.919922,2579.360107,2579.360107,3813180000
AAPL,2017-11-02,2579.459961,2581.110107,2566.169922,2579.850098,2579.850098,4048270000
AAPL,2017-11-03,2581.929932,2588.419922,2576.770020,2587.840088,2587.840088,3567710000
